precinct,shootings_per_100K
1,3.8992786334528113
5,9.194440217115607
6,5.142544916915758
7,13.43523834873316
9,8.970269164139108
10,12.241644365996697
13,4.48526270824434
14,13.316546414217228
17,3.7914212774562093
18,4.491864440815723
19,1.200428312822015
20,4.141331462425943
23,47.28945445165728
24,7.514559458951719
25,65.99665496406347
26,20.775863063978118
28,51.04205546357351
30,26.83647406396026
32,58.800549342118515
33,21.71871113371672
34,12.50893946936826
40,69.16698283628347
41,70.54538693324437
42,68.59693301858745
43,31.705086259414006
44,44.77668724703367
45,9.458154170277513
46,47.13617116113216
47,44.90829894113919
48,63.47986315800309
49,21.171032050451817
50,8.145609797202404
52,27.893173248395886
60,22.467415397851347
61,7.96409891589822
62,2.6690384474988362
63,17.750965784027287
66,1.8661256395212569
67,55.20977875601326
68,1.7212948268205275
69,34.49675324675325
70,20.53975999601653
71,43.83144920994538
72,4.866400334989419
73,121.43220613406116
75,60.85891329825699
76,26.48287767526107
77,65.64778781123664
78,6.428828581714697
79,88.94642797792483
81,94.97692766721177
83,37.66941725284676
84,14.227618178153492
88,43.06189522346345
90,16.262110993187033
94,8.889362988248262
100,22.361959623245703
101,51.33612380313342
102,8.41996820223773
103,41.31667884113467
104,4.113050120453611
105,19.39285221889076
106,11.434078454112592
107,4.254317423131575
108,2.7763755678950024
109,3.349739355625656
110,5.875353141824405
111,0.8588777902792212
112,3.3461229588649952
113,51.134228539083196
114,10.990853637056649
115,5.994844433786943
120,39.06170991687061
122,3.5975881768862155
123,3.2642402480822588
