"precinct","2011","2012","2013","2014","2015","2016","2017","2018","2019"
23,-10.8695652173914,-21.951219512195,-62.5,33.3333333333331,43.7500000000002,-17.391304347826,-47.3684210526316,100,64.9999999999999
32,-13.1578947368421,0,3.03030303030287,-26.4705882352941,28.0000000000001,31.2500000000001,-40.4761904761906,-44,35.7142857142856
40,29.8507462686568,-32.183908045977,-35.593220338983,10.5263157894735,-23.8095238095238,6.25000000000007,-5.88235294117654,21.8750000000001,-17.948717948718
42,14.5833333333333,10.909090909091,-11.4754098360656,1.85185185185182,-27.2727272727273,-32.4999999999999,14.8148148148145,19.3548387096776,0
44,38.7755102040818,-16.1764705882353,-26.3157894736843,26.1904761904762,9.43396226415087,-22.4137931034483,-20,47.2222222222224,-35.8490566037737
46,-19.9999999999999,28.846153846154,-52.2388059701493,112.5,0,-35.2941176470588,-29.5454545454547,-16.1290322580643,42.307692307692
47,-1.51515151515154,-7.69230769230782,-23.3333333333332,28.2608695652175,-38.9830508474577,-19.4444444444444,48.2758620689652,-4.65116279069777,-36.5853658536585
60,36.0000000000001,-44.1176470588236,105.263157894737,-38.4615384615383,8.33333333333319,-46.1538461538462,7.14285714285741,-80.0000000000001,500.000000000002
67,30,-29.8076923076922,17.808219178082,-8.13953488372083,-21.5189873417722,14.5161290322581,-22.5352112676055,-25.4545454545454,-19.5121951219513
73,4.80769230769242,-13.7614678899078,-8.5106382978726,0,-19.7674418604652,-27.536231884058,-25.9999999999999,48.6486486486486,-12.7272727272727
75,20.1834862385322,-32.0610687022901,-12.3595505617978,2.56410256410251,1.25000000000008,-16.0493827160494,-35.2941176470589,-25.0000000000001,100.000000000001
77,-31.0810810810811,0,-23.5294117647059,0,-12.8205128205128,-5.88235294117656,-53.1250000000001,33.3333333333333,115
79,36.6666666666667,-17.0731707317073,-19.1176470588236,-29.0909090909091,2.56410256410273,2.49999999999992,-17.0731707317073,14.705882352941,-17.9487179487179
101,20.6896551724136,8.57142857142861,-36.8421052631578,29.1666666666665,-12.9032258064515,-25.925925925926,-49.9999999999998,59.9999999999993,-6.25000000000002
113,-14.9253731343283,17.5438596491228,-38.8059701492538,31.7073170731708,-51.8518518518517,69.2307692307689,-38.6363636363637,-44.4444444444444,146.666666666666
114,-15.1515151515155,10.7142857142859,-64.516129032258,163.636363636364,-20.689655172414,-73.9130434782608,100,150,-33.3333333333334
120,21.8750000000001,5.12820512820527,2.43902439024384,-40.4761904761904,19.9999999999998,-16.6666666666665,7.99999999999974,-25.925925925926,-40
